"","add_to_cart_order","reordered","order_number","order_dow","order_hour_of_day","days_since_prior_order","aisle_id","department_id"
"1",7,1,29,1,1,8,61,19
"2",4,0,7,2,6,30,61,19
"3",9,0,5,2,14,11,61,19
"4",9,0,6,1,13,30,61,19
"5",3,1,49,4,11,21,61,19
"6",6,1,22,3,16,18,94,7
"7",1,0,9,6,19,13,120,16
"8",16,0,9,0,15,29,115,7
"9",6,1,30,4,17,10,115,7
"10",6,1,22,4,17,11,115,7
"11",9,1,10,4,13,5,115,7
"12",1,0,33,3,14,6,115,7
"13",2,1,14,2,10,6,115,7
"14",10,1,22,3,11,12,115,7
"15",15,0,8,0,9,30,115,7
"16",6,0,17,1,9,14,115,7
"17",15,1,10,5,17,26,115,7
"18",3,0,21,2,16,30,115,7
"19",12,0,6,3,8,8,115,7
"20",26,1,7,1,11,0,115,7
"21",13,0,13,6,23,30,115,7
"22",3,0,6,3,17,11,103,19
"23",19,1,61,6,11,5,49,12
"24",11,0,7,0,7,7,49,12
"25",35,0,17,1,19,30,49,12
"26",2,0,30,6,11,30,3,19
"27",11,0,7,3,12,30,3,19
"28",35,0,13,1,14,21,3,19
"29",5,1,13,1,15,0,3,19
"30",5,1,8,4,8,14,81,15
"31",9,0,5,1,12,30,107,19
"32",12,1,9,3,10,8,121,14
"33",2,1,9,1,18,11,121,14
"34",4,1,22,2,21,7,121,14
"35",12,0,7,0,10,7,121,14
"36",6,1,7,0,10,4,121,14
"37",7,1,6,3,11,6,121,14
"38",2,0,7,6,11,6,121,14
"39",4,1,5,0,11,30,121,14
"40",4,1,9,0,21,30,121,14
"41",6,0,6,6,13,5,121,14
"42",4,1,32,0,10,7,121,14
"43",3,1,7,1,12,9,121,14
"44",2,1,15,1,9,30,121,14
"45",2,1,5,1,10,8,121,14
"46",17,0,4,1,13,30,121,14
"47",9,1,12,6,12,7,121,14
"48",10,1,5,2,8,21,121,14
"49",11,1,12,4,6,9,121,14
"50",3,0,18,5,12,30,121,14
"51",2,1,4,0,15,14,38,1
"52",12,0,7,5,19,30,69,15
"53",9,0,9,2,15,30,69,15
"54",1,0,5,2,23,30,69,15
"55",5,1,23,0,14,28,106,12
"56",6,0,15,3,15,30,78,19
"57",5,1,14,1,11,30,123,4
"58",1,1,4,1,9,30,83,4
"59",5,1,13,1,9,7,83,4
"60",8,1,27,4,10,15,83,4
"61",13,1,28,0,9,7,83,4
"62",3,0,4,6,16,6,83,4
"63",9,1,15,2,8,19,83,4
"64",4,1,68,4,18,2,83,4
"65",11,1,10,5,7,30,83,4
"66",7,0,18,0,11,30,83,4
"67",22,0,10,0,15,22,83,4
"68",11,0,7,1,15,26,83,4
"69",8,1,14,6,9,25,83,4
"70",5,1,60,0,18,3,83,4
"71",12,0,19,1,6,30,83,4
"72",3,0,5,2,14,30,83,4
"73",10,1,9,0,10,21,83,4
"74",8,0,7,6,17,30,83,4
"75",6,1,23,4,13,27,83,4
"76",5,1,8,1,8,7,83,4
"77",8,0,5,3,14,10,83,4
"78",4,1,11,0,17,24,83,4
"79",10,0,27,0,12,11,83,4
"80",5,0,37,6,14,6,83,4
"81",10,1,16,6,20,5,83,4
"82",4,1,16,1,11,30,83,4
"83",7,0,4,6,19,30,83,4
"84",5,0,12,0,16,14,83,4
